Tran Id,Original Id,Tran Date,Tran Status,Filer,Contributor/Payee,Sub Type,Payer of Personal Expenditure,Amount,Aggregate Amount,Contributor/Payee Committee ID,Filer Id,Attest By Name,Attest Date,Review By Name,Review Date,Due Date,Occptn Ltr Date,Pymt Sched Txt,Purp Desc,Intrst Rate,Check Nbr,Tran Stsfd Ind,Filed By Name,Filed Date,Addr book Agent Name,Book Type,Title Txt,Occptn Txt,Emp Name,Emp City,Emp State,Employ Ind,Self Employ Ind,Addr Line1,Addr Line2,City,State,Zip,Zip Plus Four,County,Country,Foreign Postal Code,Purpose Codes,Exp Date
1547060,1547060,09/05/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,8.25,0,,14006,Richard A Cunningham Jr,09/05/2013,,,10/07/2013,,,,,,N,Richard A Cunningham Jr,09/05/2013,,,,,,,,N,N,,,,,,,,,,,
1531058,1531058,08/01/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Contributions $100 and under ,Cash Contribution,,13,0,,14006,Richard A Cunningham Jr,08/02/2013,,,09/03/2013,,,,,,N,Richard A Cunningham Jr,08/02/2013,,,,,,,,N,N,,,,,,,,,,,
1531059,1531059,08/01/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,13,0,,14006,Richard A Cunningham Jr,08/02/2013,,,09/03/2013,,,,,,N,Richard A Cunningham Jr,08/02/2013,,,,,,,,N,N,,,,,,,,,,,
1506200,1506200,05/21/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Contributions $100 and under ,Cash Contribution,,50,0,,14006,Richard A Cunningham Jr,05/21/2013,,,05/28/2013,,,,,,N,Richard A Cunningham Jr,05/21/2013,,,,,,,,N,N,,,,,,,,,,,
1507133,1506198,05/21/2013,Amended,Friends of Rich Cunningham,Roaring Rapids Pizza,Cash Expenditure,,139,139,,14006,Richard A Cunningham Jr,05/25/2013,nanfer,05/28/2013,06/13/2013,,,Food for Election Night Party,,120,N,Richard A Cunningham Jr,05/25/2013,,Business Entity,,,,,,N,N,4005 Franklin Blvd,,Eugene,OR,,,Lane,United States,,,
1503086,1503086,05/15/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,5.8,840.8,,14006,Richard A Cunningham Jr,05/15/2013,nanfer,05/20/2013,05/22/2013,,,,,,N,Richard A Cunningham Jr,05/15/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1502133,1502133,05/13/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,184,835,,14006,Richard A Cunningham Jr,05/13/2013,nanfer,05/20/2013,05/20/2013,,,,,,N,Richard A Cunningham Jr,05/13/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1499400,1499400,05/06/2013,Original,Friends of Rich Cunningham,Eugene Weekly,Cash Expenditure,,169.85,169.85,,14006,Richard A Cunningham Jr,05/07/2013,nanfer,05/08/2013,05/13/2013,,,,,119,N,Richard A Cunningham Jr,05/07/2013,,Business Entity,,,,,,N,N,1251 Lincoln Street,,Eugene,OR,97401,,Lane,United States,,Newspaper and Other Periodical Advertising,
1499401,1499401,05/06/2013,Original,Friends of Rich Cunningham,Office Max,Cash Expenditure,,7.95,136.64,,14006,Richard A Cunningham Jr,05/07/2013,nanfer,05/08/2013,05/13/2013,,,,,,N,Richard A Cunningham Jr,05/07/2013,,Business Entity,,,,,,N,N,Divison Street,,Eugene,OR,97404,,Lane,United States,,"Literature, Brochures, Printing",
1496524,1496524,05/01/2013,Original,Friends of Rich Cunningham,Office Max,Cash Expenditure,,7.95,128.69,,14006,Richard A Cunningham Jr,05/01/2013,nanfer,05/03/2013,05/08/2013,,,,,,N,Richard A Cunningham Jr,05/01/2013,,Business Entity,,,,,,N,N,Divison Street,,Eugene,OR,97404,,Lane,United States,,"Literature, Brochures, Printing",
1496394,1496394,04/30/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,180,651,,14006,Richard A Cunningham Jr,05/01/2013,nanfer,05/01/2013,05/07/2013,,,,,,N,Richard A Cunningham Jr,05/01/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1496523,1496523,04/30/2013,Original,Friends of Rich Cunningham,Federal Express-Kinko's,Cash Expenditure,,92.18,782.85,,14006,Richard A Cunningham Jr,05/01/2013,nanfer,05/03/2013,05/07/2013,,,,,,N,Richard A Cunningham Jr,05/01/2013,,Business Entity,,,,,,N,N,Willamette Street,,Eugene,OR,97401,,Lane,United States,,"Literature, Brochures, Printing",
1494504,1494504,04/29/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,250,471,,14006,Richard A Cunningham Jr,04/29/2013,nanfer,05/07/2013,05/06/2013,,,,,,N,Richard A Cunningham Jr,05/06/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1494505,1494505,04/29/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Contributions $100 and under ,Cash Contribution,,50,0,,14006,Richard A Cunningham Jr,04/29/2013,,,05/06/2013,,,,,,N,Richard A Cunningham Jr,04/29/2013,,,,,,,,N,N,,,,,,,,,,,
1499125,1499125,04/27/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,53.2,0,,14006,Richard A Cunningham Jr,04/29/2013,,,05/06/2013,,,,,,N,Richard A Cunningham Jr,05/06/2013,,,,,,,,N,N,,,,,,,,,,,
1492648,1491540,04/24/2013,Amended,Friends of Rich Cunningham,Insta Print,Cash Expenditure,,499,780.44,,14006,Richard A Cunningham Jr,04/24/2013,nanfer,04/24/2013,05/01/2013,,,,,111,N,Richard A Cunningham Jr,04/24/2013,,Business Entity,,,,,,N,N,1208 West 6th Street,,Eugene,OR,97402,,Lane,United States,,"Literature, Brochures, Printing",
1492631,1492631,04/23/2013,Original,Friends of Rich Cunningham,Dead Mountain Echo,Cash Expenditure,,175,175,,14006,Richard A Cunningham Jr,04/24/2013,nanfer,05/01/2013,04/30/2013,,,,,118,N,Richard A Cunningham Jr,04/30/2013,,Business Entity,,,,,,N,N,PO Box 900,,Oakridge,OR,97463,,Lane,United States,,Newspaper and Other Periodical Advertising,
1492633,1492633,04/23/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,9.2,221,,14006,Richard A Cunningham Jr,04/24/2013,nanfer,05/01/2013,04/30/2013,,,,,,N,Richard A Cunningham Jr,04/30/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1496372,1496372,04/23/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,136.9,0,,14006,Richard A Cunningham Jr,04/24/2013,,,04/30/2013,,,,,,N,Richard A Cunningham Jr,04/30/2013,,,,,,,,N,N,,,,,,,,,,,
1491537,1491537,04/22/2013,Original,Friends of Rich Cunningham,LCC Education Assoc.,Cash Contribution,,1500,1500,,14006,Richard A Cunningham Jr,04/22/2013,nanfer,04/23/2013,04/29/2013,,,,,,N,Richard A Cunningham Jr,04/22/2013,,Labor Organization,,,,,,N,N,4000 East 30th Avenue,,Eugene,OR,97405,640,Lane,United States,,,
1491541,1491541,04/22/2013,Original,Friends of Rich Cunningham,Federal Express-Kinko's,Cash Expenditure,,279.17,690.67,,14006,Richard A Cunningham Jr,04/22/2013,nanfer,04/23/2013,04/29/2013,,,,,115,N,Richard A Cunningham Jr,04/22/2013,,Business Entity,,,,,,N,N,Willamette Street,,Eugene,OR,97401,,Lane,United States,,"Literature, Brochures, Printing",
1491542,1491542,04/22/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,64,0,,14006,Richard A Cunningham Jr,04/22/2013,,,04/29/2013,,,,,,N,Richard A Cunningham Jr,04/22/2013,,,,,,,,N,N,,,,,,,,,,,
1489557,1489557,04/16/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,57.61,0,,14006,Richard A Cunningham Jr,04/17/2013,,,04/23/2013,,,,,,N,Richard A Cunningham Jr,04/17/2013,,,,,,,,N,N,,,,,,,,,,,
1489556,1489556,04/15/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,88.49,0,,14006,Richard A Cunningham Jr,04/17/2013,,,04/22/2013,,,,,,N,Richard A Cunningham Jr,04/17/2013,,,,,,,,N,N,,,,,,,,,,,
1487364,1487364,04/11/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,6.99,0,,14006,Richard A Cunningham Jr,04/12/2013,,,04/18/2013,,,,,,N,Richard A Cunningham Jr,04/12/2013,,,,,,,,N,N,,,,,,,,,,,
1491544,1487064,04/11/2013,Amended,Friends of Rich Cunningham,Pride Printing,Cash Expenditure,,290,290,,14006,Richard A Cunningham Jr,04/22/2013,nanfer,04/23/2013,04/18/2013,,,,,116,N,Richard A Cunningham Jr,04/22/2013,,Business Entity,,,,,,N,N,406 First Avenue West,,Albany,OR,,,Linn,United States,,"Literature, Brochures, Printing",
1486738,1486738,04/10/2013,Original,Friends of Rich Cunningham,Lane Central Labor Council AF-CIO,Cash Contribution,,500,500,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,Labor Organization,,,,,,N,N,1116 South A Street,,Springfield,OR,97477,,Lane,United States,,,
1486284,1486284,04/09/2013,Original,Friends of Rich Cunningham,Office Max,Cash Expenditure,,26.16,120.74,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,Divison Street,,Eugene,OR,97404,,Lane,United States,,"Literature, Brochures, Printing",
1486745,1486745,04/09/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,5.54,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
1486279,1486279,04/08/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,18.4,211.8,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1486744,1486744,04/06/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,24.04,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
1484936,1484936,04/04/2013,Original,Friends of Rich Cunningham,United States Post Office,Cash Expenditure,,110.4,193.4,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,West 11th Street ,,Eugene,OR,97402,,Lane,United States,,Postage,
1486743,1486743,04/04/2013,Original,Friends of Rich Cunningham,Miscellaneous Cash Expenditures $100 and under,Cash Expenditure,,14.6,0,,14006,Richard A Cunningham Jr,04/10/2013,,,04/17/2013,,,,,,N,Richard A Cunningham Jr,04/10/2013,,,,,,,,N,N,,,,,,,,,,,
1484925,1484925,04/03/2013,Original,Friends of Rich Cunningham,Oregon T's,Cash Expenditure,,364,364,,14006,Richard A Cunningham Jr,04/10/2013,nanfer,04/11/2013,04/17/2013,,,,,109,N,Richard A Cunningham Jr,04/10/2013,,Business Entity,,,,,,N,N,31992 Camas Swale Road,,Cresswell,OR,97426,,Lane,United States,,"Other Advertising (yard signs, buttons, etc.)",
